,valid_accuracy,valid_precision,valid_recall,valid_f1,test_accuracy,test_precision,test_recall,test_f1
24852,0.7441136252861399,0.3324965497549136,0.7110562672535525,0.45311315668940577,0.7447856688772669,0.33281391158039647,0.7086140568706873,0.4529100873270128
13176,0.7507040891220365,0.28542867740901173,0.7184794821883556,0.4085526078974839,0.7508560955367722,0.28539268123168043,0.7174309371280987,0.4083460640475024
21137,0.7596083273118304,0.21286100361958885,0.6948879615349723,0.32589307082342805,0.7597091171709172,0.21329090727351482,0.6968883244125919,0.3266168635971309
21903,0.7429169108457224,0.18781822351823335,0.7116926973406501,0.2972034135567561,0.7419347986715157,0.18691598558886433,0.7100772729981526,0.29593264398837665
47209,0.7759412984067198,0.19645724424632124,0.7582059988681381,0.3120578113444864,0.7751180782191393,0.19546433756380838,0.7558573853989813,0.3106060958423062
47766,0.7874096537493576,0.17093377093058454,0.7279820871217262,0.2768595574479066,0.786272733755426,0.1712700198460352,0.7354593567648257,0.2778384419392709
47626,0.7887353326619595,0.1465491632834934,0.6903253391378708,0.24177245345948337,0.7888945026301136,0.14702291789020794,0.6928291560420424,0.2425707271133757
16797,0.7890975711058893,0.13196394390899968,0.6545104763497972,0.21964295739066975,0.7887094008924331,0.13209590828971624,0.6569306433805079,0.21996179935137314
26209,0.8164949352996622,0.15551795450272607,0.705020028978096,0.25482494647505505,0.8164170069049017,0.15565389209860034,0.706327560343652,0.25509280635331055
27845,0.7749133757019555,0.12607009356734272,0.7070021881838074,0.2139834296954163,0.7751423538568678,0.12625581046633677,0.7074887091692049,0.21427321743832803
